movie_title,year,duration,genre,rating
Spider-Man: Homecoming,2017,133 min,"Action, Adventure, Sci-Fi",7.4
The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi",8.5
Mean Girls,2004,97 min,Comedy,7.1
Twilight,I 2008,122 min,"Drama, Fantasy, Romance",5.3
Orphan,2009,123 min,"Horror, Mystery, Thriller",7.0
No Country for Old Men,2007,122 min,"Crime, Drama, Thriller",8.2
Spider-Man,2002,121 min,"Action, Adventure, Sci-Fi",7.4
Avengers: Infinity War,2018,149 min,"Action, Adventure, Sci-Fi",8.4
The Magnificent Seven,2016,132 min,"Action, Adventure, Drama",6.9
Fast & Furious Presents: Hobbs & Shaw,2019,137 min,"Action, Adventure, Thriller",6.5
The Mummy,1999,124 min,"Action, Adventure, Fantasy",7.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,"Action, Adventure, Fantasy",8.1
Deadpool 2,2018,119 min,"Action, Adventure, Comedy",7.6
Harry Potter and the Prisoner of Azkaban,2004,142 min,"Adventure, Family, Fantasy",7.9
Galaxy Quest,1999,102 min,"Adventure, Comedy, Sci-Fi",7.4
Avatar,2009,162 min,"Action, Adventure, Fantasy",7.9
Idiocracy,2006,84 min,"Adventure, Comedy, Sci-Fi",6.5
Deadpool,2016,108 min,"Action, Comedy",8.0
Indiana Jones and the Kingdom of the Crystal Skull,2008,122 min,"Action, Adventure",6.2
The Fifth Element,1997,126 min,"Action, Adventure, Sci-Fi",7.6
True Lies,1994,141 min,"Action, Comedy, Thriller",7.3
The Hangover,2009,100 min,Comedy,7.7
The Meg,2018,113 min,"Action, Horror, Sci-Fi",5.6
Harry Potter and the Chamber of Secrets,2002,161 min,"Adventure, Family, Fantasy",7.4
American Beauty,1999,122 min,Drama,8.3
Starship Troopers,1997,129 min,"Action, Adventure, Sci-Fi",7.3
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure, Family, Fantasy",8.1
Run,I 2020,90 min,"Mystery, Thriller",6.7
Promising Young Woman,2020,113 min,"Crime, Drama, Mystery",7.5
The Irishman,2019,209 min,"Biography, Crime, Drama",7.8
Oldeuboi,2003,101 min,"Action, Drama, Mystery",8.4
Black Hawk Down,2001,144 min,"Action, Drama, History",7.7
Just Go with It,2011,117 min,"Comedy, Romance",6.4
Eyes Wide Shut,1999,159 min,"Drama, Mystery, Thriller",7.5
A League of Their Own,1992,128 min,"Comedy, Drama, Sport",7.3
10 Things I Hate About You,1999,97 min,"Comedy, Drama, Romance",7.3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143 min,"Adventure, Family, Fantasy",6.9
Star Wars: Episode IX - The Rise of Skywalker,2019,141 min,"Action, Adventure, Fantasy",6.5
365 dni,2020,114 min,"Drama, Romance",3.3
Iron Man,2008,126 min,"Action, Adventure, Sci-Fi",7.9
